CNN,street1,street2,street3,street4
8088000,LANE ST,OAKDALE AVE,,
19908000,WASHINGTON BLVD,PARK BLVD,,
33844000,BELLEVUE AVE,POPE ST,,
19550000,MESA ST,LINCOLN BLVD,,
25819000,EUREKA ST,18TH ST,,
12355000,SWEENY ST,UNIVERSITY ST,,
8373201,LINCOLN WAY,35TH AVE,,
50067000,I-80 W OFF RAMP,I-80 WESTBOUND,,
2961000,BERWICK PL,END,,
34044000,AVENUE C,04TH TI ST,,
27786000,40TH AVE,KIRKHAM ST,,
12287101,SUNSET BLVD,ULLOA ST,,
9225000,MOJAVE ST,BRADFORD ST,,
2113000,ALABAMA ST,19TH ST,,
27835000,ANZA ST,30TH AVE,,
26209000,UPPER TER,ASHBURY TER,,
5767000,FRANCISCO ST,LEAVENWORTH ST,,
27424000,LINCOLN WAY,25TH AVE,,
27660000,WEST CLAY ST,24TH AVE,,
21741000,MISSION ST,SAN JUAN AVE,,
33598000,FAXON AVE,MONTEREY BLVD,,
13715101,WOODSIDE AVE,HERNANDEZ AVE,,
22726000,MONTICELLO ST,SHIELDS ST,,
26723000,FRANKLIN ST,BAY ST,,
51592000,UTAH ST,END,,
19807000,UNNAMED 088,UNNAMED 090,,
9131000,MISSION ST,POWERS AVE,,
8506000,LOWELL ST,BYRON CT,,
20618000,PHELPS ST,CARROLL AVE,,
20613000,VENUS ST,WILLIAMS AVE,,
52426000,HWY 101 NORTHBOUND,HWY 101 N ON RAMP,,
54280000,KENNEDY PL,COLEMAN ST,,
8360101,LINCOLN WAY,22ND AVE,,
20744000,SANTA FE AVE,SILVER AVE,,
24265000,HOWARD ST,07TH ST,,
21657000,SILLIMAN ST,VALMAR TER,,
9570000,NEWHALL ST,KIRKWOOD AVE,,
1710000,32ND AVE,KIRKHAM ST,,
1607000,29TH AVE,LAKE ST,,
3695000,CARL ST,COLE ST,,
21838000,SAN JOSE AVE,RANDALL ST,,
23303000,HAVENSIDE DR,OCEAN AVE,,
10122000,PACIFIC AVE,MONTGOMERY ST,,
23366000,YORBA ST,SUNSET BLVD,,
4648000,DE LONG ST,FLOURNOY ST,,
50011000,WELSH ST,END,,
33709000,CHURCH ACCESS RD,CHURCH PARKING LOT,,
8115000,LAPIDGE ST,18TH ST,,
10288000,PARNASSUS AVE,SHRADER ST,,
9878201,OCTAVIA ST,PAGE ST,,
52030000,VALLEY ST,END,,
25606000,ELIZABETH ST,GUERRERO ST,,
21460000,HANOVER ST,CONCORD ST,,
21383000,NAYLOR ST,CHICAGO WAY,,
4395000,CORBIN PL,17TH ST,,
19440001,LINCOLN BLVD,BATTERY CROSBY RD,,
12749000,TURK BLVD,BEAUMONT AVE,,
20581000,GOETTINGEN ST,WARD ST,,
20142000,INGALLS ST,WALLACE AVE,,
26611000,FILLMORE ST,CALIFORNIA ST,,
8750203,MARKET ST,JONES ST,,
19770000,VETERANS DR,END,,
25722000,CHURCH ST,DORLAND ST,,
12721000,TURK ST,DODGE ST,,
6079101,GEARY BLVD,22ND AVE,,
12608000,THRIFT ST,CAPITOL AVE,,
4156000,CLEMENT ST,07TH AVE,,
20051000,FITZGERALD AVE,DONAHUE ST,,
8973000,MENDOSA AVE,END,,
23638000,MISSOURI ST,TURNER TER,,
12223000,STOCKTON ST,NORTH POINT ST,,
13719000,WOOL ST,POWHATTAN AVE,,
6513000,GREENWICH ST,IMPERIAL ALY,,
6505000,GREENWICH ST,END,,
5132000,EL SERENO CT,END,,
5614000,FLORENCE ST,END,,
12756000,TURQUOISE WAY,AMETHYST WAY,,
11845000,SHOTWELL ST,CESAR CHAVEZ ST,,
1043000,20TH ST,SAN BRUNO AVE,,
25649000,SANCHEZ ST,24TH ST,,
21469000,ROLPH ST,CURTIS ST,,
12550102,THE EMBARCADERO,HARRISON ST,,
4875201,DOLORES ST,21ST ST,,
25876000,CHURCH ST,RESERVOIR ST,,
32862000,KEZAR DR,WALLER ST,,
13680000,WINFIELD ST,EUGENIA AVE,,
24083000,SOUTH VAN NESS AVE,21ST ST,,
12956000,JUNIPERO SERRA BLVD,EUCALYPTUS DR,,
4306000,COLUMBUS AVE,BAY ST,,
22913000,SAINT FRANCIS BLVD,SAN BENITO WAY,,
22823000,LANSDALE AVE,CASITAS AVE,,
51012000,UNNAMED 069,END,,
32892000,SUNSET BLVD OFF RAMP,SLOAT BLVD,,
21949000,EVERSON ST,BEACON ST,,
4208000,CLINTON PARK,STEVENSON ST,,
54130000,PIPER LOOP,DUDLEY RD,,
4686000,DELANO AVE,NAHUA AVE,,
20841000,MILL ST,HARKNESS AVE,,
34024000,CALIFORNIA AVE,AVENUE B,,
20858000,KAREN CT,HOLYOKE ST,,
26250000,PALO ALTO AVE,CLARENDON AVE,,
19069000,COMPTON RD,WASHINGTON BLVD,,
9632000,NOE ST,26TH ST,,
23038000,FONT BLVD,JUAN BAUTISTA CIR,,
25524000,BAY ST,TAYLOR ST,,
10246000,PANORAMA DR,DELLBROOK AVE,,
21431000,EDINBURGH ST,AMAZON AVE,,
33288000,MARTIN AVE,MULLEN AVE,,
8162000,LATHROP AVE,PENINSULA AVE,,
54184000,MILTON ST,GLEN CT,,
4297000,COLUMBUS AVE,POWELL ST,,
8757102,MARKET ST,BRADY ST,,
13182000,VASQUEZ AVE,LAGUNA HONDA BLVD,,
20667000,OAKDALE AVE,NEWHALL ST,,
5568101,FILLMORE ST,CHESTNUT ST,,
51541000,GIBBON CT,SIMONDS LOOP,,
12357000,SWISS AVE,ARBOR ST,,
9868000,OCEAN AVE,WESTMOORLAND DR,,
7456000,JEFFERSON ST,MASON ST,,
20421000,SANTOS ST,GENEVA AVE,,
33330000,TULANE ST,PRINCETON ST,,
10730000,PRAGUE ST,PERSIA AVE,,
54214000,EMERALD COVE WAY,OTTER COVE TER,,
21411000,NAPLES ST,ITALY AVE,,
6991000,HOLLOWAY AVE,JUNIPERO SERRA BLVD,,
23178000,TARAVAL ST,16TH AVE,,
23897000,06TH ST,BRYANT ST,,
8949000,MELROSE AVE,FOERSTER ST,,
50193000,WALL PL,END,,
4563000,CUVIER ST,END,,
6181000,GILMAN AVE,DOCK ST,,
13260000,VICENTE ST,34TH AVE,,
23743000,18TH ST,DE HARO ST,,
20501000,SHAFTER AVE,LANE ST,,
15240000,MARYLAND ST,21ST ST,,
11714000,SCOTT ST,GREENWICH ST,,
22898000,PACHECO ST,ALTON AVE,,
51578000,CUMBERLAND ST,END,,
22138000,CONGO ST,FLOOD AVE,,
23682000,MARIPOSA ST,CONNECTICUT ST,,
11475000,SAN JOSE AV ON RAMP,MONTEREY BLVD,,
12063000,SPRUCE ST,MAYFAIR DR,,
26989000,AVILA ST,CERVANTES BLVD,,
9344000,MORAGA ST,18TH AVE,,
27312000,17TH AVE,PACHECO ST,,
13617000,WHITNEY YOUNG CIR,NEWCOMB AVE,,
1861000,38TH AVE,ULLOA ST,,
19944000,INCA LN,ELLIS ST,,
1344000,24TH ST,CAPP ST,,
22476000,CAPITOL AVE,BROAD ST,,
23214000,SLOAT BLVD,24TH AVE,,
25219000,SUTTER ST,VAN NESS AVE,,
51100000,ROME ST,END,,
26744000,WEBSTER ST,GREENWICH ST,,
23731000,SAN BRUNO AVE,22ND ST,,
5110000,EGBERT AVE,TEVIS ST,,
23291000,QUINTARA ST,29TH AVE,,
25055000,TRENTON ST,PACIFIC AVE,,
50365000,GREENWICH ST,END,,
22384000,LULU ALY,CRESTA VISTA DR,,
5744000,FRANCE AVE,LONDON ST,,
12308000,SUSSEX ST,OHLONE WAY,,
20578000,SAN BRUNO AVE,PAUL AVE,,
26678000,VALLEJO ST,STEINER ST,,
24714000,BALANCE ST,JACKSON ST,,
24536000,CLEMENTINA ST,OSCAR ALY,,
9516000,NATOMA ST,10TH ST,,
7374000,JACKSON ST,SAINT LOUIS ALY,,
417000,08TH ST,BRANNAN ST,,
12841000,UNION ST,SONOMA ST,,
26350000,FELL ST,BAKER ST,,
13800000,EMERALD COVE WAY,SEAL COVE TER,,
23835000,ZOE ST,FREELON ST,,
28035000,EL CAMINO DEL MAR,MCLAREN AVE,,
20830000,HOLLADAY AVE,YORK ST,,
3069000,BRADY ST,STEVENSON ST,,
11086000,RIVOLI ST,BELVEDERE ST,,
25954000,WEBSTER ST,GROVE ST,,
23126000,MIDDLEFIELD DR,LAKE MERCED BLVD,,
24451000,FRANKLIN ST,HAYES ST,,
51854000,GALVEZ AVE,GRIFFITH ST,,
21731000,ITALY AVE,PARIS ST,,
19279000,HWY 101 TO I-280 RAMP,HWY 101 NORTHBOUND,,
21668000,TRUMBULL ST,NEY ST,,
51196000,SIBLEY RD,MORTON ST,,
7601000,JONES ST,NORTH POINT ST,,
8083000,LANDERS ST,ALERT ALY,,
26064000,PIERCE ST,ELM ST,,
10159000,PACIFIC AVE,DIVISADERO ST,,
33406000,JUNIPERO SERRA BLVD,MONCADA WAY,,
1435000,25TH ST,SHOTWELL ST,,
24589000,CLEMENTINA ST,04TH ST,,
25822000,STATES ST,CASTRO ST,,
51126000,LIEBIG ST,COUNTY LINE,,
26868000,NORMANDIE TER,VALLEJO ST,,
22534000,PALMETTO AVE,CHESTER AVE,,
2624000,BAKER ST,WASHINGTON ST,,
10149000,PACIFIC AVE,FRANKLIN ST,,
6290000,GOLDING LN,END,,
26587000,GEARY BLVD,WEBSTER ST,,
26625000,SUTTER ST,SCOTT ST,,
26254000,CHRISTOPHER DR,FOREST KNOLLS DR,,
15245000,SAN FRANCISCO GOLF CLUB RD,JUNIPERO SERRA BLVD,,
12659000,TOWNSEND ST,03RD ST,,
23910000,CLARA ST,05TH ST,,
50618000,COLONIAL WAY,END,,
8669201,MANSELL ST,SOMERSET ST,,
8349101,LINCOLN WAY,11TH AVE,,
22322000,FOUNTAIN ST,25TH ST,,
9823101,OCEAN AVE,PLYMOUTH AVE,,
5441000,FELL ST,FRANKLIN ST,,
2254000,AMBER DR,AMETHYST WAY,,
1265000,23RD ST,MISSION ST,,
4842000,DIVISION ST,VERMONT ST,,
4666000,DECKER ALY,END,,
9377000,MORGAN ALY,MARKET ST,,
25525000,COLUMBUS AVE,FRANCISCO ST,,
10440000,PIERCE ST,VALLEJO ST,,
23662000,SIERRA ST,MISSOURI ST,,
51741000,SAN BRUNO AVE,21ST ST,,
26316000,UPPER TER,BUENA VISTA AVE,,
9719000,NUEVA AVE,BLANKEN AVE,,
22833000,SANTA PAULA AVE,SANTA MONICA WAY,,
6964000,HOLLOWAY AVE,HAROLD AVE,,
12983000,JOHN F KENNEDY DR,36TH AVE,,
27940000,KIRKHAM ST,47TH AVE,,
21407000,FRANCE AVE,ATHENS ST,,
21065000,CORTLAND AVE,BRONTE ST,,
12130000,STEINER ST,TURK ST,,
4990000,DUBOCE AVE,WALTER ST,,
15232000,21ST ST,MICHIGAN ST,,
1655000,30TH AVE,ORTEGA ST,,
605000,15TH AVE,LAKE ST,,
5688000,FOLSOM ST,14TH ST,,
21651000,PERU AVE,VALMAR TER,,
19632001,PIPER LOOP,DEEMS RD,,
22411000,EVELYN WAY,TERESITA BLVD,,
25649000,24TH ST,SANCHEZ ST,,
8672201,MANSELL ST,VISITACION AVE,,
22728000,BEVERLY ST,GARFIELD ST,,
13315000,VIRGINIA AVE,PROSPECT AVE,,
13577101,WEST PORTAL AVE,ULLOA ST,,
6797000,HAWES ST,ARMSTRONG AVE,,
22026000,DIAMOND HEIGHTS BLVD,DIAMOND ST,,
51960000,DOCK ST,GILMAN AVE,,
11831000,SHORT ST,YUKON ST,,
27056000,LOCKSLEY AVE,WARREN DR,,
19270000,HWY 101 SOUTHBOUND,HWY 101 TO I-280 RAMP,,
19311000,I-280 NORTHBOUND,I-280 N OFF RAMP,,
7929000,LA SALLE AVE,OSCEOLA LN,,
5771000,FRANCISCO ST,VAN NESS AVE,,
10102000,PACHECO ST,30TH AVE,,
26560000,OCTAVIA ST,JACKSON ST,,
10501000,PIOCHE ST,HARVARD ST,,
13380000,WALLER ST,SHRADER ST,,
52124000,HWY 101 SOUTHBOUND,HWY 101 S ON RAMP,,
26628000,STEINER ST,SUTTER ST,,
21981000,MANGELS AVE,BADEN ST,,
21539000,WHIPPLE AVE,ELLINGTON AVE,,
22294000,LOS PALMOS DR,TERESITA BLVD,,
4124000,CLAY ST,SPRUCE ST,,
12700000,TRUMBULL ST,CONGDON ST,,
21768000,MISSION ST,EXCELSIOR AVE,,
11267000,SACRAMENTO ST,LAUREL ST,,
33857000,PALM LN,HERMANN ST,,
20263000,BLANKEN AVE,EXECUTIVE PARK BLVD,,
23610000,24TH ST,MINNESOTA ST,,
25030000,JACKSON ST,GRANT AVE,,
25091000,JONES ST,CALIFORNIA ST,,
24476000,FRANKLIN ST,GOLDEN GATE AVE,,
52069000,ORIZABA AVE,LAKEVIEW AVE,,
23307000,CLEARFIELD DR,OCEAN AVE,,
23374000,ULLOA ST,35TH AVE,,
8097000,LANE ST,YOSEMITE AVE,,
21545000,NAGLEE AVE,RAE AVE,,
22933000,SAN LEANDRO WAY,PORTOLA DR,,
7388000,JACKSON ST,MARCY PL,,
19772000,FORT MILEY 3,EAST FORT MILEY RD,,
25311000,GREEN ST,HYDE ST,,
8789000,MARVIEW WAY,PANORAMA DR,,
7863000,KIRKHAM ST,25TH AVE,,
21771000,MISSION ST,HARRINGTON ST,,
6387000,GRANT AVE,SUTTER ST,,
619000,15TH AVE,NORIEGA ST,,
51579000,20TH ST,END,,
33844000,POPE ST,BELLEVUE AVE,,
52167000,HWY 101 SOUTHBOUND,HWY 101 S ON RAMP,,
25522000,WATER ST,TAYLOR ST,,
21928000,WILDER ST,CARRIE ST,,
26783000,CERVANTES BLVD,ALHAMBRA ST,,
24326000,GOLDEN GATE AVE,JONES ST,,
33662000,CRESCENT AVE,PUTNAM ST,,
23835000,FREELON ST,ZOE ST,,
7610000,JOOST AVE,DETROIT ST,,
12104000,STAPLES AVE,DETROIT ST,,
25010000,MILLER PL,SACRAMENTO ST,,
7745000,KATE ST,BRYANT ST,,
6813000,HAYES ST,POLK ST,,
23190000,QUINTARA ST,16TH AVE,,
26266000,COLE ST,17TH ST,,
21628000,MOSCOW ST,PERSIA AVE,,
7707103,JUNIPERO SERRA BLVD,PALOMA AVE,,
12925000,UNNAMED 039,PORTOLA DR,,
13223000,VERMONT ST,25TH ST,,
19253000,HWY 101 S ON RAMP,HWY 101 S OFF RAMP,,
33613000,SOUTH VAN NESS AVE,PLUM ST,,
9979000,ORIZABA AVE,END,,
23355000,ULLOA ST,34TH AVE,,
22339000,CLIPPER TER,HIGH ST,,
21625000,MUNICH ST,RUSSIA AVE,,
1569101,27TH ST,END,,
32947000,MARVIEW WAY,FREDELA LN,,
54270000,KIRKWOOD AVE,AVOCET WAY,,
21646000,NAPLES ST,AVALON AVE,,
13284000,VICTORIA ST,RANDOLPH ST,,
50258000,KIMBALL PL,END,,
26062000,PIERCE ST,GOLDEN GATE AVE,,
4812101,DIVISADERO ST,GEARY BLVD,,
21878000,RANDALL ST,WHITNEY ST,,
21240000,JUSTIN DR,MURRAY ST,,
655000,15TH ST,VALENCIA ST,,
11357000,SAN BRUNO AVE,19TH ST,,
5874000,FRONT ST,BROADWAY,,
54036000,DAVIS CT,END,,
4951000,DOUGLASS ST,22ND ST,,
25911000,LAGUNA ST,LILY ST,,
32950000,LORI LN,DELLBROOK AVE,,
7919000,LA PLAYA,BALBOA ST,,
13127000,VALLEY ST,CHURCH ST,,
4133000,CLAYTON ST,WALLER ST,,
5639000,FOERSTER ST,STAPLES AVE,,
23685000,WISCONSIN ST,25TH ST,,
23165000,OCEAN AVE,MELBA AVE,,
21348000,SAN JOSE AVE,VALLEY ST,,
3671000,CAPP ST,15TH ST,,
5552000,FILLMORE ST,PINE ST,,
6855000,HEAD ST,RANDOLPH ST,,
50067000,I-80 WESTBOUND,I-80 W OFF RAMP,,
19117001,FRENCH CT,END,,
271000,04TH ST,MISSION CREEK,,
24971000,BUSH ST,BURRITT ST,,
6562000,GROVE ST,FILLMORE ST,,
10777000,PRINCETON ST,TULANE ST,,
7550000,JOHN F SHELLEY DR,MANSELL ST,,
20790000,LOOMIS ST,WATERLOO ST,,
8851000,MASONIC AVE,HAYES ST,,
27248000,GEARY BLVD,04TH AVE,,
51841000,FITCH ST,DAVIDSON AVE,,
9202000,MISSISSIPPI ST,18TH ST,,
5618000,FLORIDA ST,END,,
26503000,GOUGH ST,FERN ST,,
50084000,I-80 WESTBOUND,I-80 W ON RAMP,,
6583102,GUERRERO ST,HILL ST,,
50120000,PFEIFFER ST,END,,
33616000,NOE ST,20TH ST,,
51347000,STONE ST,LINCOLN BLVD,,
13472000,WAWONA ST,16TH AVE,,
6084101,GEARY BLVD,27TH AVE,,
2565000,AVALON AVE,LA GRANDE AVE,,
21317000,PROSPECT AVE,VIRGINIA AVE,,
23726000,KANSAS ST,22ND ST,,
564000,14TH AVE,NORIEGA ST,,
8994000,MERRITT ST,MARKET ST,,
24396000,COLTON ST,COLUSA PL,,
4895000,DONAHUE ST,PULASKI AVE,,
9252000,MONTALVO AVE,MAGELLAN AVE,,
19911000,WEDEMEYER ST,14TH AVE,,
25316000,PACIFIC AVE,POLK ST,,
5133000,EL SERENO CT,RIO CT,,
3056000,BOYLSTON ST,SWEENY ST,,
26873000,UNION ST,SCOTT ST,,
13381000,WALNUT ST,PACIFIC AVE,,
23378000,SUNSET BLVD,VICENTE ST,,
21806000,TINGLEY ST,SAN JOSE AVE,,
24687000,PINE ST,LEIDESDORFF ST,,
21061000,CORTLAND AVE,PUTNAM ST,,
8647000,MANGELS AVE,BURNSIDE AVE,,
23097000,SERRANO DR,TAPIA DR,,
5121000,EL CAMINO DEL MAR,25TH AVE,,
25681000,OAKWOOD ST,19TH ST,,
7104000,HURON AVE,NAGLEE AVE,,
26091000,WORTH ST,21ST ST,,
30039000,SANSOME ST,BROADWAY,,
50728000,MASSACHUSETTS ST,END,,
33605000,SCHWERIN ST,VELASCO AVE,,
22795000,OCEAN AVE,SAN FERNANDO WAY,,
26992000,SCOTT ST,BEACH ST,,
51226000,THORNBURG RD,END,,
50303000,SERVICE ST,END,,
5651000,FOLSOM ST,SPEAR ST,,
8451000,LOMBARD ST,LARKIN ST,,
19493000,MACARTHUR AVE,FORT MASON 8,,
7885000,KIRKHAM ST,45TH AVE,,
13570000,WELSH ST,ZOE ST,,
23180000,16TH AVE,CECILIA AVE,,
27216000,STANYAN BLVD,ANZA ST,,
12327000,SUTTER ST,LEAVENWORTH ST,,
4674000,DELANO AVE,SAN JUAN AVE,,
6871000,HELENA ST,BOUTWELL ST,,
4439000,CORTLAND AVE,PERALTA AVE,,
22864000,HERNANDEZ AVE,MERCED AVE,,
26671000,BROADWAY,STEINER ST,,
13447000,WASHINGTON ST,WALNUT ST,,
6392000,GRANT AVE,CALIFORNIA ST,,
19201000,HWY 101 N ON RAMP,BAY SHORE BLVD,,
22084000,GENEVA AVE,BANNOCK ST,,
6040102,GEARY BLVD,LAGUNA ST,,
1883000,39TH AVE,YORBA ST,,
20404000,SAWYER ST,SUNRISE WAY,,
11528000,SANCHEZ ST,ELIZABETH ST,,
13021000,URBANO DR,PICO AVE,,
27801000,JUDAH ST,44TH AVE,,
51007000,DRAKE ST,COUNTY LINE,,
25326000,GRANT AVE,GREEN ST,,
27988000,GEARY BLVD,45TH AVE,,
21136000,BRYANT ST,PRECITA AVE,,
11987000,MARTIN LUTHER KING JR DR,HAGIWARA TEA GARDEN DR,,
409000,08TH ST,HOWARD ST,,
9336000,MORAGA ST,10TH AVE,,
22987000,TARAVAL ST,FUNSTON AVE,,
24498000,FOLSOM ST,FREMONT ST,,
25165000,BUSH ST,LEAVENWORTH ST,,
4720000,DESMOND ST,LELAND AVE,,
13161101,VAN NESS AVE,WASHINGTON ST,,
2400000,ARCH ST,GARFIELD ST,,
4172000,CLEMENT ST,22ND AVE,,
20090000,ROSIE LEE LN,LILLIAN ST,,
52179000,SAN MARCOS AVE,END,,
33622000,UNNAMED 042,UNNAMED 043,,
51019000,HANOVER ST,WHITTIER ST,,
20246000,PHELPS ST,DAVIDSON AVE,,
10544000,POINT LOBOS AVE,MERRIE WAY,,
33354000,MORSE ST,UNNAMED 068,,
33356000,UNNAMED 068,HANOVER ST,,
51050000,CHARLES ST,END,,
52192000,EAST RD,WEST RD,,
27021000,LYON ST,CHESTNUT ST,,
6740000,HARRISON ST,13TH ST,,
8793000,MARY ST,MISSION ST,,
8348101,LINCOLN WAY,10TH AVE,,
11929000,SILVER AVE,LEDYARD ST,,
12482000,TENNESSEE ST,MARIPOSA ST,,
54026000,DOLPHIN CT,KIRKWOOD AVE,,
23613000,PENNSYLVANIA AVE,25TH ST,,
5483000,FERN ST,POLK ST,,
35031000,FRIEDELL ST,JERROLD AVE,,
12415000,TARAVAL ST,38TH AVE,,
33618000,KING ST,DIVISION ST,,
24150000,18TH ST,SAN CARLOS ST,,
26693000,FRANKLIN ST,GREENWICH ST,,
33399000,LIPPARD AVE,UNNAMED 024,,
2923000,BENNINGTON ST,NEWMAN ST,,
10610000,DIAMOND HEIGHTS BLVD,CLIPPER ST,,
54235000,HWY 101 NORTHBOUND RAMP,MARINA BLVD,,
116002,DELANCEY ST,BAYSIDE VILLAGE PL,,
10472000,PINE ST,JONES ST,,
23380000,37TH AVE,ULLOA ST,,
3125000,BRIDGEVIEW DR,TOPEKA AVE,,
27977000,48TH AVE,CABRILLO ST,,
7772000,KEARNY ST,GREENWICH ST,,
20930000,SILVER AVE,BOWDOIN ST,,
19125000,FUNSTON AVE,PRESIDIO BLVD,,
21746000,RUTH ST,MISSION ST,,
25359000,UNION ST,VIA FERLINGHETTI,,
12273101,SUNSET BLVD,MARTIN LUTHER KING JR DR,,
30727000,MARKET ST,DRUMM ST,,
15163000,KENNEDY PL,INNES CT,,
51526000,STOREY AVE,ROD RD,,
33617000,SAN BRUNO AVE,MARIPOSA ST,,
21147000,CHAPMAN ST,PRENTISS ST,,
4575000,DAKOTA ST,23RD ST,,
19387000,I-80 WESTBOUND,I-80 W OFF RAMP,,
8547000,LURMONT TER,LEAVENWORTH ST,,
22766000,SAN ALESO AVE,MONTEREY BLVD,,
26938000,LOCUST ST,CALIFORNIA ST,,
19646000,PRESIDIO BLVD,SIMONDS LOOP,,
21819000,LEESE ST,CRESCENT AVE,,
26328000,MASONIC AVE,UPPER TER,,
22911000,SAN BENITO WAY,MONTEREY BLVD,,
6443000,GREEN ST,END,,
7380000,JACKSON ST,BEDFORD PL,,
10162000,PACIFIC AVE,BAKER ST,,
4440000,CORTLAND AVE,HOLLADAY AVE,,
19155000,HALLECK ST,LINCOLN BLVD,,
27600000,LAKE ST,07TH AVE,,
11646000,SARGENT ST,END,,
6709000,HARRISON ST,MAIN ST,,
3311000,BRYANT ST,21ST ST,,
21596000,LOBOS ST,PLYMOUTH AVE,,
9318101,MONTGOMERY ST,FILBERT ST,,
4527000,CRESTMONT DR,BLAIRWOOD LN,,
7628000,JUAN BAUTISTA CIR,JOSEPHA AVE,,
12353000,SWEENY ST,DUNSMUIR ST,,
19919000,WHITECLIFF WAY,CLEARVIEW CT,,
19779000,MUIR LOOP,END,,
8407000,LISBON ST,EXCELSIOR AVE,,
25563000,UNION ST,POLK ST,,
50752000,CLEO RAND AVE,END,,
4781101,DIAMOND HEIGHTS BLVD,BERKELEY WAY,,
23131000,SYLVAN DR,EUCALYPTUS DR,,
25462000,MASON ST,COLUMBUS AVE,,
34017000,LINDEN ST,WEBSTER ST,,
13179000,VARENNES ST,UNION ST,,
14181000,GATEVIEW AVE,NORTHPOINT DR,,
23679000,CONNECTICUT ST,18TH ST,,
22746000,FAIRFIELD WAY,LAKEWOOD AVE,,
12621000,TOCOLOMA AVE,LATHROP AVE,,
25975000,15TH ST,SANCHEZ ST,,
15105000,GLEN CT,MILTON ST,,
33346000,ROLPH ST,LINDA VISTA STPS,,
14054000,09TH TI ST,AVENUE E,,
50651000,ENCLINE CT,END,,
5249000,ESMERALDA AVE,LUNDYS LN,,
7936000,LAFAYETTE ST,MISSION ST,,
21510000,OTTAWA AVE,MISSION ST,,
21115000,FRANCONIA ST,MONTCALM ST,,
11415000,SAN FERNANDO WAY,DARIEN WAY,,
12471000,TEHAMA ST,01ST ST,,
11872000,SIERRA ST,TEXAS ST,,
20510000,WILLIAMS AVE,CERES ST,,
54095000,OWENS ST,NELSON RISING LN,,
26616000,ELLIS ST,SCOTT ST,,
20820000,HOLLADAY AVE,RUTLEDGE ST,,
7740000,KANSAS ST,CESAR CHAVEZ ST,,
22148000,CIRCULAR AVE,MARSTON AVE,,
22982000,QUINTARA ST,10TH AVE,,
24571000,DRUMM ST,WASHINGTON ST,,
23201000,SANTIAGO ST,22ND AVE,,
34002000,ORSI CIR,KALMANOVITZ ST,,
14245000,I-80 WESTBOUND,I-80 W ON RAMP,,
50367000,MONTCLAIR TER,END,,
11799000,SHAWNEE AVE,DELANO AVE,,
33775000,FRANKLIN ST,DANIEL BURNHAM CT,,
6062101,GEARY BLVD,06TH AVE,,
9936000,OLYMPIA WAY,SKYVIEW WAY,,
25991000,WALLER ST,STEINER ST,,
11316000,SALINAS AVE,03RD ST,,
6589101,GUERRERO ST,CESAR CHAVEZ ST,,
6153101,GENEVA AVE,CARRIZAL ST,,
7857000,KIRKHAM ST,19TH AVE,,
22669000,OCEAN AVE,KEYSTONE WAY,,
26972000,CHESTNUT ST,SCOTT ST,,
51951000,ALVORD ST,EGBERT AVE,,
20804000,BARNEVELD AVE,OAKDALE AVE,,
50861000,LANE ST,END,,
24339000,14TH ST,SHOTWELL ST,,
19522000,MASON ST,CROOK ST,,
23349000,33RD AVE,VICENTE ST,,
21971000,VAN BUREN ST,SUSSEX ST,,
428000,09TH AVE,BALBOA ST,,
9961000,ORA WAY,GOLD MINE DR,,
22088000,GENEVA AVE,CAYUGA AVE,,
11533000,SANCHEZ ST,26TH ST,,
8814000,MASON ST,EWER PL,,
6434101,GREAT HWY,FULTON ST,,
21872000,MIGUEL ST,LAIDLEY ST,,
7637000,JUANITA WAY,REX AVE,,
26941000,LOCUST ST,WASHINGTON ST,,
13538201,WEBSTER ST,OFARRELL ST,,
50279000,FRANKLIN ST,FUNSTON RD,,
4337000,CONGO ST,JOOST AVE,,
5087000,EDINBURGH ST,AVALON AVE,,
4043000,MONTEREY BLVD,SAN JOSE AV ON RAMP,,
32826000,LONE MOUNTAIN TER,ROSSI AVE,,
6041203,GEARY BLVD,FILLMORE ST,,
12740000,TURK BLVD,NIDO AVE,,
23825000,LUSK ST,TOWNSEND ST,,
8385201,LINCOLN WAY,47TH AVE,,
6880000,HENRY ST,SANCHEZ ST,,
4347000,CONNECTICUT ST,18TH ST,,
12961000,JUNIPERO SERRA BLVD,LYNDHURST DR,,
25661000,21ST ST,CHATTANOOGA ST,,
3760201,CASHMERE ST,END,,
2271000,ANDERSON ST,JARBOE AVE,,
15221000,HWY 101 SOUTHBOUND,HWY 101 SOUTHBOUND RAMP,,
21644000,PERSIA AVE,VIENNA ST,,
22863000,LAGUNA HONDA BLVD,WOODSIDE AVE,,
5276000,EUCALYPTUS DR,25TH AVE,,
23371000,WAWONA ST,38TH AVE,,
9326000,MONTICELLO ST,HOLLOWAY AVE,,
27792000,40TH AVE,LINCOLN WAY,,
27503000,18TH AVE,CLEMENT ST,,
4351000,CONNECTICUT ST,25TH ST,,
26430000,SHRADER ST,HAIGHT ST,,
8380201,LINCOLN WAY,42ND AVE,,
2694000,BALBOA ST,LA PLAYA,,
4607000,DAVIS ST,SACRAMENTO ST,,
7636000,JUANITA WAY,UNNAMED 037,,
11741000,SELBY ST,HUDSON AVE,,
25402000,PFEIFFER ST,BELLAIR PL,,
27139000,MORAGA ST,14TH AVE,,
21155000,GATES ST,POWHATTAN AVE,,
7458001,JEFFERSON ST,JONES ST,,
